PYTHON vs FORTRAN COMPARISON (First 365 days)
================================================================================

Timestep-by-timestep comparison for key variables:
------------------------------------------------------------------------------------------------------------------------
Step   Time     F_Ts       P_Ts       Diff_Ts    F_Tb       P_Tb       Diff_Tb    F_h_ML     P_h_ML     Diff_h_ML  
------------------------------------------------------------------------------------------------------------------------
0      0.00     4.00000    4.00000    0.00000    3.98001    4.00000    0.01999    3.00000    3.00000    0.00000    
1      1.00     3.60939    3.63494    0.02555    3.60939    3.63494    0.02555    5.90000    5.90000    0.00000    
2      2.00     3.29459    3.10016    -0.19443   3.29459    3.10016    -0.19443   5.90000    5.90000    0.00000    
3      3.00     2.78539    2.45570    -0.32969   2.78539    2.45570    -0.32969   5.90000    5.90000    0.00000    
4      4.00     2.16731    2.23242    0.06511    2.16731    2.23242    0.06511    5.90000    5.90000    0.00000    
5      5.00     1.98200    2.14044    0.15844    1.98200    2.14044    0.15844    5.90000    5.90000    0.00000    
6      6.00     1.92420    1.90373    -0.02047   1.92420    1.90373    -0.02047   5.90000    5.90000    0.00000    
7      7.00     1.72589    1.65575    -0.07014   1.72589    1.90373    0.17784    5.90000    5.57351    -0.32649   
8      8.00     1.51671    1.14858    -0.36813   1.72589    1.90373    0.17784    5.75774    2.59016    -3.16758   
9      9.00     1.08292    0.93050    -0.15242   1.72589    1.82177    0.09588    2.89892    4.28100    1.38208    
10     10.00    0.81543    0.07558    -0.73985   1.62999    1.82177    0.19178    3.70135    2.82105    -0.88030   
11     11.00    0.13538    0.00000    -0.13538   1.62999    1.82177    0.19178    3.28798    1.65492    -1.63306   
12     12.00    0.00000    0.00000    0.00000    1.62999    0.29150    -1.33849   2.03158    1.65492    -0.37666   
13     13.00    0.00000    0.00000    0.00000    0.32006    0.29935    -0.02071   2.03158    1.65492    -0.37666   
14     14.00    0.00000    0.00000    0.00000    0.32861    0.30718    -0.02143   2.03158    1.65492    -0.37666   
15     15.00    0.00000    0.00000    0.00000    0.33714    0.31500    -0.02214   2.03158    1.65492    -0.37666   
16     16.00    0.00000    0.00000    0.00000    0.34564    0.32280    -0.02284   2.03158    1.65492    -0.37666   
17     17.00    0.00000    0.00000    0.00000    0.35413    0.33058    -0.02355   2.03158    1.65492    -0.37666   
18     18.00    0.00000    0.00000    0.00000    0.36260    0.33835    -0.02425   2.03158    1.65492    -0.37666   
19     19.00    0.00000    0.00000    0.00000    0.37105    0.34610    -0.02495   2.03158    1.65492    -0.37666   
20     20.00    0.00000    0.00000    0.00000    0.37948    0.35383    -0.02565   2.03158    1.65492    -0.37666   
21     21.00    0.00000    0.00000    0.00000    0.38789    0.36155    -0.02634   2.03158    1.65492    -0.37666   
22     22.00    0.00000    0.00000    0.00000    0.39628    0.36925    -0.02703   2.03158    1.65492    -0.37666   
23     23.00    0.00000    0.00000    0.00000    0.40465    0.37694    -0.02771   2.03158    1.65492    -0.37666   
24     24.00    0.00000    0.00000    0.00000    0.41300    0.38461    -0.02839   2.03158    1.65492    -0.37666   
25     25.00    0.00000    0.00000    0.00000    0.42133    0.39226    -0.02907   2.03158    1.65492    -0.37666   
26     26.00    0.00000    0.00000    0.00000    0.42965    0.39990    -0.02975   2.03158    1.65492    -0.37666   
27     27.00    0.00000    0.00000    0.00000    0.43794    0.40752    -0.03042   2.03158    1.65492    -0.37666   
28     28.00    0.00000    0.00000    0.00000    0.44621    0.41512    -0.03109   2.03158    1.65492    -0.37666   
29     29.00    0.00000    0.00000    0.00000    0.45447    0.42271    -0.03176   2.03158    1.65492    -0.37666   
30     30.00    0.00000    0.00000    0.00000    0.46270    0.43028    -0.03242   2.03158    1.65492    -0.37666   
31     31.00    0.00000    0.00000    0.00000    0.47092    0.43784    -0.03308   2.03158    1.65492    -0.37666   
32     32.00    0.00000    0.00000    0.00000    0.47912    0.44538    -0.03374   2.03158    1.65492    -0.37666   
33     33.00    0.00000    0.00000    0.00000    0.48730    0.45290    -0.03440   2.03158    1.65492    -0.37666   
34     34.00    0.00000    0.00000    0.00000    0.49545    0.46041    -0.03504   2.03158    1.65492    -0.37666   
35     35.00    0.00000    0.00000    0.00000    0.50360    0.46790    -0.03570   2.03158    1.65492    -0.37666   
36     36.00    0.00000    0.00000    0.00000    0.51172    0.47538    -0.03634   2.03158    1.65492    -0.37666   
37     37.00    0.00000    0.00000    0.00000    0.51982    0.48284    -0.03698   2.03158    1.65492    -0.37666   
38     38.00    0.00000    0.00000    0.00000    0.52790    0.49028    -0.03762   2.03158    1.65492    -0.37666   
39     39.00    0.00000    0.00000    0.00000    0.53597    0.49771    -0.03826   2.03158    1.65492    -0.37666   
40     40.00    0.00000    0.00000    0.00000    0.54401    0.50513    -0.03888   2.03158    1.65492    -0.37666   
41     41.00    0.00000    0.00000    0.00000    0.55204    0.51252    -0.03952   2.03158    1.65492    -0.37666   
42     42.00    0.00000    0.00000    0.00000    0.56005    0.51991    -0.04014   2.03158    1.65492    -0.37666   
43     43.00    0.00000    0.00000    0.00000    0.56804    0.52727    -0.04077   2.03158    1.65492    -0.37666   
44     44.00    0.00000    0.00000    0.00000    0.57601    0.53462    -0.04139   2.03158    1.65492    -0.37666   
45     45.00    0.00000    0.00000    0.00000    0.58397    0.54196    -0.04201   2.03158    1.65492    -0.37666   
46     46.00    0.00000    0.00000    0.00000    0.59190    0.54928    -0.04262   2.03158    1.65492    -0.37666   
47     47.00    0.00000    0.00000    0.00000    0.59982    0.55658    -0.04324   2.03158    1.65492    -0.37666   
48     48.00    0.00000    0.00000    0.00000    0.60772    0.56387    -0.04385   2.03158    1.65492    -0.37666   
49     49.00    0.00000    0.00000    0.00000    0.61560    0.57114    -0.04446   2.03158    1.65492    -0.37666   
50     50.00    0.00000    0.00000    0.00000    0.62346    0.57840    -0.04506   2.03158    1.65492    -0.37666   
51     51.00    0.00000    0.00000    0.00000    0.63130    0.58564    -0.04566   2.03158    1.65492    -0.37666   
52     52.00    0.00000    0.00000    0.00000    0.63912    0.59287    -0.04625   2.03158    1.65492    -0.37666   
53     53.00    0.00000    0.00000    0.00000    0.64693    0.60008    -0.04685   2.03158    1.65492    -0.37666   
54     54.00    0.00000    0.00000    0.00000    0.65472    0.60728    -0.04744   2.03158    1.65492    -0.37666   
55     55.00    0.00000    0.00000    0.00000    0.66249    0.61446    -0.04803   2.03158    1.65492    -0.37666   
56     56.00    0.00000    0.00000    0.00000    0.67024    0.62163    -0.04861   2.03158    1.65492    -0.37666   
57     57.00    0.00000    0.00000    0.00000    0.67798    0.62878    -0.04920   2.03158    1.65492    -0.37666   
58     58.00    0.00000    0.00000    0.00000    0.68569    0.63591    -0.04978   2.03158    1.65492    -0.37666   
59     59.00    0.00000    0.00000    0.00000    0.69339    0.64304    -0.05035   2.03158    1.65492    -0.37666   
60     60.00    0.00000    0.00000    0.00000    0.70107    0.65014    -0.05093   2.03158    1.65492    -0.37666   
61     61.00    0.00000    0.00000    0.00000    0.70874    0.65723    -0.05151   2.03158    1.65492    -0.37666   
62     62.00    0.00000    0.00000    0.00000    0.71638    0.66431    -0.05207   2.03158    1.65492    -0.37666   
